proximity, shade, brightness
199,525572,16
199,525572,16
197,525572,16
198,525572,16
196,525572,16
199,525572,16
200,525572,16
199,525572,16
198,525572,16
200,525572,16
196,525572,16
200,525572,16
200,525572,17
200,591364,18
198,591364,19
201,262914,8
217,131585,5
225,262914,10
228,262914,9
227,262914,10
230,328450,10
229,262914,10
229,262914,9
229,262914,9
229,262914,9
229,262914,9
230,262914,9
229,262914,9
229,262914,9
227,262914,9
229,262914,9
229,262914,9
230,262914,9
230,262914,9
229,262914,9
229,262914,9
229,262914,9
227,262914,9
229,262914,9
230,262914,9
230,262914,9
227,262914,9
229,262914,9
229,262914,9
228,262914,9
229,262914,9
200,262657,7
198,262657,7
199,262657,7
199,262657,7
198,262657,7
200,262657,7
198,262657,7
199,262657,7
198,262657,7
199,262657,7
199,262657,7
195,262657,7
199,262657,7
199,262657,7
202,262657,7
199,262657,7
196,262657,7
200,262657,7
199,196865,6
191,0,1
225,65536,2
225,65792,2
231,131329,3
231,131329,4
231,131329,4
230,131329,4
231,131329,4
228,131329,4
229,131329,4
232,131329,4
229,131329,4
228,131329,4
230,131329,4
230,131329,4
230,131329,4
230,131329,4
230,131329,4
232,131329,4
230,131329,4
229,131329,4
231,131329,4
229,131329,4
230,131329,4
231,131329,4
229,131329,4
231,131329,4
230,131329,4
230,131329,4
230,131329,4
229,131329,4
230,131329,4
199,460035,15
200,525572,16
200,525572,16
199,525572,16
199,525571,15
198,460035,15
198,460035,15
199,328450,10
198,262658,8
166,197121,6
66,262914,8
147,262658,8
145,262914,8
145,262657,7
149,328450,10
146,459779,15
146,591364,18
146,656900,20
146,657156,20
146,656900,20
147,656900,20
147,591364,19
146,591364,19
148,591364,20
146,657157,21
148,657157,21
146,657157,22
149,657157,22
146,657157,21
148,591364,18
147,459779,13
145,459779,14
147,591364,19
148,591620,20
146,591364,18
147,591364,18
149,591364,19
146,591364,19
148,591364,19
146,591364,19
147,591364,19
146,591364,19
147,591364,19
146,591364,19
147,591364,19
148,591364,19
147,591364,19
148,591364,19
148,591364,19
148,591364,19
147,591364,19
200,328450,10
199,328450,10
199,328450,10
200,328450,10
199,328450,10
200,328450,10
200,328450,10
201,328450,10
198,328450,10
198,328450,9
199,328194,9
198,328194,9
199,328194,9
199,328194,9
199,328194,9
199,328450,9
199,328450,9
202,328450,9
195,262658,7
116,262657,7
144,197121,6
140,197121,5
142,262657,7
143,393986,10
144,393986,10
144,393986,10
144,393986,10
142,393986,10
144,393986,10
142,393986,10
142,393986,10
143,393986,11
142,393986,11
141,393986,11
141,393986,11
141,393986,11
143,393986,11
142,393986,11
145,393986,11
144,393986,11
144,393986,12
141,393986,12
143,393986,11
140,393986,11
144,393986,11
142,393986,11
144,393986,11
144,393986,11
146,393986,11
143,393986,11
141,393986,11
199,460035,15
198,460035,15
199,460035,15
200,460035,15
200,460035,15
199,460035,15
200,460035,15
199,460035,15
199,460035,15
199,460035,15
199,460035,15
200,460035,15
199,460035,15
201,460035,15
198,460035,15
198,460035,15
198,460035,15
200,328450,10
198,197378,8
217,262914,8
215,197378,7
216,262914,8
216,328450,11
217,328451,11
217,328451,11
215,328450,11
217,328450,11
217,328451,11
